furniture,FURN-008,stool,Industrial,Design Within Reach,35.0,45.0,35.0,2019,2020,Johnson Collection,mint,150.00
furniture,FURN-006,coffee table,Mid-century,Alvar Aalto,120.0,45.0,70.0,1933,1936,Private Owner,needs restoring,780.00
furniture,FURN-001,armchair,Victorian,George Hepplewhite,65.0,100.0,70.0,1870,1890,Martin Family,restored,950.00
furniture,FURN-009,bench,Scandinavian,Hans Wegner,110.0,48.0,40.0,1940,1947,Clark Estate,mint,1280.00
furniture,FURN-005,sofa,Contemporary,Design Within Reach,220.0,90.0,95.0,2015,2016,Thompson Estate,mint,1350.00
coin,COIN-302,Silver,Edinburgh,1.00,GBP,1690,1705,National Museum,mint,2200.00
furniture,FURN-002,dining table,Scandinavian,Hans Wegner,180.0,75.0,95.0,1955,1965,Clark Estate,mint,3200.00
sculpture,SCUL-203,Red Kite,Wood,95.0,2005,2008,Private Owner,mint,3200.00
furniture,FURN-007,china cabinet,Victorian,Thomas Chippendale,95.0,180.0,45.0,1865,1875,Williams Auction,restored,3600.00
furniture,FURN-004,writing desk,Regency,George Smith,140.0,78.0,65.0,1815,1825,Harris Collection,restored,5400.00
furniture,FURN-003,wardrobe,Art Deco,Émile-Jacques Ruhlmann,120.0,210.0,55.0,1920,1928,Green Auction,mint,6100.00
furniture,FURN-010,hall table,Georgian,Thomas Sheraton,100.0,75.0,40.0,1780,1784,Thompson Estate,restored,6900.00
coin,COIN-301,Gold,Rome,200.00,SEST,60,75,Imperial Collection,restored,11800.00
sculpture,SCUL-202,The Dancer,Marble,150.0,1885,1890,Smith Estate,mint,18500.00
sculpture,SCUL-201,Athena,Bronze,180.0,430,450,Louvre Archives,restored,42000.00
