FURN-001,table,Victorian,Chippendale,120.0,75.0,60.0,1850,Smith Estate,mint,2500.00
FURN-002,chair,modern,Herman Miller,45.0,85.0,50.0,2020,Johnson Collection,mint
FURN-003,cabinet,Georgian,Thomas Chippendale,150.0,180.0,45.0,1760,Williams Auction,restored
FURN-004,desk,contemporary,IKEA,100.0,75.0,60.0,2015,Private Owner,mint,200.00
FURN-005,sofa,modern,Design Within Reach,200.0,90.0,95.0,2018,Thompson Estate,mint,1200.00
FURN-006,armchair,Victorian,George Hepplewhite,65.0,100.0,70.0,1890,Martin Family,restored,950.00
FURN-007,bookcase,Arts and Crafts,William Morris,90.0,180.0,30.0,1895,Harris Collection,restored,1500.00
FURN-008,dining table,contemporary,West Elm,160.0,75.0,90.0,2021,Private Owner,mint,850.00
FURN-009,sideboard,mid-century,Hans Wegner,140.0,90.0,45.0,1955,Clark Estate,mint,3200.00
FURN-010,coffee table,Scandinavian,Alvar Aalto,100.0,45.0,60.0,1935,Private Owner,needs restoring,750.00
FURN-011,wardrobe,Victorian,Charles Eastlake,90.0,200.0,55.0,1880,Green Auction,restored,2100.00
FURN-012,nightstand,modern,Pottery Barn,40.0,55.0,35.0,2019,Private Owner,mint,180.00
FURN-013,armchair,Georgian,Thomas Sheraton,60.0,95.0,65.0,1790,Anderson Estate,restored,2800.00
FURN-014,console table,Art Deco,Émile-Jacques Ruhlmann,110.0,85.0,35.0,1925,White Collection,mint,4200.00
FURN-015,chaise lounge,modern,Restoration Hardware,180.0,90.0,70.0,2017,Private Owner,mint,1350.00
FURN-016,stool,industrial,Design Within Reach,30.0,45.0,30.0,2020,Johnson Collection,mint,150.00
FURN-017,china cabinet,Victorian,George Hepplewhite,80.0,160.0,40.0,1875,Williams Auction,restored,3400.00
FURN-018,ottoman,contemporary,Wayfair,80.0,45.0,60.0,2022,Private Owner,mint,220.00
FURN-019,rocking chair,Shaker,Anonymous,65.0,100.0,65.0,1850,Smith Estate,needs restoring,1200.00
FURN-020,writing desk,Regency,George Smith,120.0,78.0,65.0,1820,Harris Collection,restored,5200.00
FURN-021,bed frame,modern,Article,150.0,110.0,210.0,2021,Private Owner,mint,950.00
FURN-022,hall table,Georgian,Thomas Chippendale,95.0,75.0,38.0,1780,Thompson Estate,restored,6800.00
FURN-023,bench,Scandinavian,Hans Wegner,100.0,45.0,35.0,1945,Clark Estate,mint,1200.00
FURN-024,bar cabinet,Art Deco,Jacques-Émile Ruhlmann,90.0,180.0,45.0,1930,Green Auction,mint,5800.00
FURN-025,plant stand,contemporary,West Elm,25.0,90.0,25.0,2020,Private Owner,mint,85.00
